time,corrective_fix,preventive_fix,local_fix,fed_fix,corrective_profit,preventive_profit,local_profit,fed_profit
1,0,0,0,0,1.381151738,1.504232866,1.487693845,1.417188823
2,0,0,0,0,2.721942168,2.852011887,2.98424095,2.736077347
3,0,0,0,0,4.192941103,4.347214516,4.300657124,4.055101751
4,0,0,0,0,5.560903741,5.832961737,5.689335757,5.323689836
5,0,0,0,0,6.857336282,7.172210789,7.026402823,6.675678207
6,0,0,0,0,8.20945983,8.463701108,8.428801002,8.129656327
7,0,0,0,0,9.537913265,9.933497611,9.704605233,9.540187918
8,0,0,0,0,11.04232436,11.33710325,11.14136993,10.96494741
9,0,0,0,0,12.43871639,12.75604922,12.45810942,12.39819941
10,0,0,0,0,13.85079112,14.10153179,13.77564084,13.76417036
11,0,0,0,0,15.13177256,15.5891727,15.11398943,15.20902424
12,0,0,0,0,16.62920636,16.98064404,16.60892751,16.6356321
13,0,0,0,0,18.09092811,18.42507832,18.04322255,18.02922131
14,0,0,0,0,19.43106091,19.81724676,19.30598622,19.51772318
15,0,0,0,0,20.89348193,21.14331682,20.71471019,20.86567059
16,0,0,0,0,22.37942614,22.43125806,22.07252897,22.14272267
17,0,0,0,0,23.81606368,23.75217885,23.56809334,23.64747777
18,0,0,0,0,25.12786218,25.18769859,24.97743669,25.08047688
19,0,0,0,0,26.60470329,26.67523626,26.37713072,26.42924413
20,0,0,0,0,27.99661197,28.00792954,27.77308524,27.72380618
21,0,0,0,0,29.44083945,29.39344598,29.07647049,29.07615694
22,0,0,0,0,30.91644004,30.8967359,30.46476284,30.50333285
23,0,0,0,0,32.23267083,32.31671009,31.76340733,31.87693849
24,0,0,0,0,33.70524573,33.62189951,33.24659564,33.15082615
25,0,0,0,0,35.06918072,34.94708587,34.57420178,34.58978616
26,0,0,0,0,36.35427881,36.20717206,35.9553409,35.87810653
27,0,0,0,0,37.67656288,37.53405151,37.40792391,37.32679909
28,0,0,0,0,39.1734693,39.02993585,38.80263684,38.6112309
29,0,0,0,0,40.6191855,40.36499044,40.22166185,40.08081289
30,0,0,0,0,42.0175783,41.76783256,41.62039969,41.50494287
31,0,0,0,0,43.42785648,43.14361676,43.04239939,42.85828341
32,0,0,0,0,44.92388819,44.62252269,44.45330385,44.12602744
33,0,0,0,0,46.18790423,46.03817505,45.88233763,45.50795434
34,0,0,0,0,47.52618885,47.53950142,47.17663901,46.96065012
35,0,0,0,0,48.96423417,48.85269249,48.45501132,48.41528802
36,0,0,0,0,50.22605923,50.11442941,49.88741306,49.71457066
37,0,0,0,0,51.59768094,51.47429042,51.28969948,51.09988137
38,0,0,0,0,52.87163967,52.98409376,52.71235735,52.56176241
39,0,0,0,0,54.25610651,54.41381535,54.07803254,53.83608263
40,0,0,0,0,55.7264706,55.84068772,55.4235401,55.13653526
41,0,0,0,0,57.11449968,57.33454657,56.69354436,56.40688788
42,0,0,0,0,58.45354367,58.74607573,58.1397795,57.75080053
43,0,0,0,0,59.92360183,60.19393643,59.54181413,59.20944046
44,0,0,0,0,61.43061683,61.46134509,60.86848842,60.5473619
45,0,0,0,0,62.85742698,62.97130867,62.35628021,61.85827828
46,0,0,0,0,64.21610745,64.26699271,63.707732,63.27410347
47,0,0,0,0,65.68711623,65.64232429,65.08244404,64.71070499
48,0,0,0,0,67.01961271,66.90952868,66.54382178,66.06422308
49,0,0,0,0,68.52752767,68.22125573,68.03692524,67.49324589
50,0,0,0,0,69.91499581,69.72529564,69.30541857,68.8141291
51,0,0,0,0,71.21713261,71.14698985,70.63120607,70.13136303
52,0,0,0,0,72.56202409,72.57784391,72.01960044,71.58080949
53,0,0,0,0,74.06168656,73.88150151,73.50584651,72.91669369
54,0,0,0,0,75.39362131,75.30271034,74.8666578,74.40171183
55,0,0,0,0,76.90421493,76.67850867,76.12704259,75.8418307
56,0,0,0,0,78.36213469,78.08721753,77.57667634,77.20825778
57,0,0,0,0,79.64783162,79.44229572,79.0481222,78.6837122
58,0,0,0,0,80.95760334,80.78774093,80.40879454,79.98146381
59,0,0,0,0,82.24563918,82.26920986,81.72970457,81.38525523
60,0,0,0,0,83.67780871,83.68679869,83.18210829,82.73691069
61,0,0,0,0,84.99325778,85.18918097,84.64093104,84.05318402
62,0,0,0,0,86.48891843,86.49112345,86.1259068,85.3241424
63,0,0,0,0,87.78209935,87.90436514,87.42327912,86.69237402
64,0,0,0,0,89.0674986,89.35996797,88.78345833,88.0576587
65,0,0,0,0,90.40869623,90.77239795,90.1675444,89.41296299
66,0,0,0,0,91.85423181,92.2055752,91.55116875,90.80770791
67,0,0,0,0,93.21513361,93.68430922,92.88496103,92.2261183
68,0,0,0,0,94.48481796,95.0687902,94.23649137,93.63374943
69,0,0,0,0,95.98845624,96.37322464,95.64717724,94.99827983
70,0,0,0,0,97.32892682,97.7756304,96.97729577,96.33125631
71,0,0,0,0,98.61515272,99.27346644,98.26746155,97.77268177
72,0,0,0,0,100.035937,100.6116577,99.70403851,99.21944181
73,0,0,0,0,101.4349713,102.1057393,101.1538765,100.6261141
74,0,0,0,0,102.8737848,103.3872568,102.6582969,101.9241725
75,0,0,0,0,104.3594079,104.7178632,104.0895234,103.4347141
76,0,0,0,0,105.8672515,106.0261021,105.4124708,104.8173929
77,0,0,0,0,107.1744839,107.4682139,106.911354,106.2521252
78,0,0,0,0,108.4768378,108.8199826,108.3758858,107.6610001
79,0,0,0,0,109.9299448,110.1791925,109.7049698,109.023703
