time,corrective_fix,preventive_fix,local_fix,fed_fix,corrective_profit,preventive_profit,local_profit,fed_profit
80,0,0,0,0,60.97126843,60.54145981,61.79164454,60.970548
81,0,0,0,0,61.78336737,61.23804802,62.49625041,61.70927203
82,0,0,0,0,62.4823219,61.87675394,63.34134782,62.57443007
83,0,0,0,0,63.2910897,62.75591649,64.15652474,63.34439263
84,0,0,0,0,64.08791756,63.5498785,64.78863729,64.22553095
85,0,0,0,0,64.93167823,64.18964237,65.56787891,65.03990413
86,0,0,0,0,65.62458727,64.8391298,66.39949817,65.69837341
87,0,0,0,0,66.48117929,65.49057725,67.27799437,66.57858921
88,0,0,0,0,67.11549864,66.34499117,67.91234995,67.26206497
89,0,0,0,0,67.80800506,67.2181252,68.64810846,67.9929201
90,0,0,0,0,68.4549981,67.99965517,69.52165933,68.71190197
91,0,0,0,0,69.28253557,68.79263352,70.39843335,69.5651004
92,0,0,0,0,70.05878128,69.44066921,71.11847589,70.28716376
93,0,0,0,0,70.79212556,70.07775546,71.82109157,71.10300802
94,0,0,0,0,71.58399021,70.88085489,72.56684926,71.79198037
95,0,0,0,0,72.24120246,71.5670603,73.23979204,72.46483557
96,0,0,0,0,73.029792,72.22134627,74.07058114,73.32603149
97,0,0,0,0,73.85496268,72.94845983,74.74535829,74.18687205
98,0,0,0,0,74.61118051,73.76541854,75.51112547,74.90436958
99,0,0,0,0,75.29923802,74.47047873,76.16776749,75.72310138
100,0,0,0,0,76.09417751,75.31402136,76.9919625,76.52544053
101,0,0,0,0,76.94955145,76.15483243,77.6903804,77.38145262
102,0,0,0,0,77.68269885,76.84604283,78.39574037,78.03562777
103,0,0,0,0,78.56055098,77.56797905,79.13411607,78.81274973
104,0,0,0,0,79.23090319,78.28428782,79.76748292,79.48156701
105,0,0,0,0,79.92199582,78.93328965,80.40311363,80.26723643
106,0,0,0,0,80.55231898,79.61028448,81.10619832,81.06730012
107,0,0,0,0,81.22183997,80.25557742,81.95791725,81.71671385
108,0,0,0,0,82.04137568,81.08519827,82.60990805,82.54089806
109,0,0,0,0,82.8003704,81.85873706,83.45420786,83.27511326
110,0,0,0,0,83.6799206,82.65260895,84.17380687,83.96575738
111,0,0,0,0,84.31408557,83.31736595,85.02692925,84.7847012
112,0,0,0,0,85.12902283,84.0984232,85.85714115,85.47342889
113,0,0,0,0,85.96227665,84.87580591,86.53059885,86.16115503
114,0,0,0,0,86.76411661,85.6420531,87.21252723,86.83497502
115,0,0,0,0,87.53698283,86.44899646,87.95202163,87.50927138
116,0,0,0,0,88.30416523,87.27147875,88.65481444,88.30325954
117,0,0,0,0,88.96401749,88.14776481,89.42794026,89.08938667
118,0,0,0,0,89.64165886,88.78642426,90.28579186,89.9633691
119,0,0,0,0,90.30489902,89.42546183,91.04290925,90.6560525
120,0,0,0,0,90.93771345,90.24280359,91.83507462,91.4070911
121,0,0,0,0,91.58173118,90.89149678,92.48697082,92.23694096
122,0,0,0,0,92.26414288,91.60346831,93.23545327,92.90220339
123,0,0,0,0,92.91487908,92.39966815,93.96087735,93.62468765
124,0,0,0,0,93.66082328,93.25521779,94.80631164,94.2587269
125,0,0,0,0,94.446264,93.94285662,95.63029026,95.01547015
126,0,0,0,0,95.13034523,94.79175603,96.29764858,95.76193794
127,0,0,0,0,95.91876704,95.64505607,97.01129355,96.41348848
128,0,0,0,0,96.63776898,96.43777266,97.65136676,97.10190639
129,0,0,0,0,97.40757069,97.09893483,98.46329212,97.81054709
130,0,0,0,0,98.17745876,97.82682485,99.13532584,98.44125955
131,0,0,0,0,99.02033786,98.5659332,99.84703874,99.19662529
132,0,0,0,0,99.74748505,99.41651668,100.7242106,99.95704204
133,0,0,0,0,100.614187,100.1747732,101.4804205,100.5892346
134,0,0,0,0,101.4691472,100.9238329,102.268885,101.4151873
135,0,0,0,0,102.2855794,101.5921565,103.0185328,102.1113663
136,0,0,0,0,102.9260809,102.2526303,103.7322571,102.783287
137,0,0,0,0,103.6422666,102.9631478,104.3982987,103.5214976
138,0,0,0,0,104.4355933,103.7854639,105.1989804,104.1748252
139,0,0,0,0,105.0923106,104.5548167,105.9209012,104.9723244
140,0,0,0,0,105.8250987,105.31249,106.6114883,105.7685777
141,0,0,0,0,106.669238,105.9948263,107.4562707,106.4673011
142,0,0,0,0,107.5441855,106.8691999,108.1486508,107.2009071
143,0,0,0,0,108.3486749,107.578661,108.9482962,107.8787173
144,0,0,0,0,109.0493973,108.4510059,109.6613678,108.6159075
145,0,0,0,0,109.7217717,109.1895857,110.5312746,109.3527526
146,0,0,0,0,110.526791,109.9754616,111.1918778,110.230949
147,0,0,0,0,111.1920697,110.8323541,112.0570645,110.9720163
148,0,0,0,0,111.8700224,111.5151209,112.8425835,111.8041951
149,0,0,0,0,112.6797802,112.1532296,113.6844375,112.5057973
150,0,0,0,0,113.5138144,112.9812778,114.4830257,113.3076185
151,0,0,0,0,114.1539159,113.8223895,115.3470808,113.9578064
152,0,0,0,0,115.0214989,114.6925579,116.1795443,114.8021153
153,0,0,0,0,115.8482989,115.5195137,116.8178195,115.4853541
154,0,0,0,0,116.6228125,116.2199974,117.6475019,116.1950038
155,0,0,0,0,117.2582053,117.0611122,118.4939554,116.8890117
156,0,0,0,0,117.9322257,117.9173617,119.2745638,117.6089773
157,0,0,0,0,118.6246489,118.7667677,120.1411241,118.4860893
158,0,0,0,0,119.3975402,119.4906935,120.7974709,119.2582889
159,0,0,0,0,120.0891436,120.2687684,121.4519541,119.9832152
160,0,0,0,0,120.8441915,120.9310713,122.1693719,120.7054731
161,0,0,0,0,121.5986642,121.7010145,122.9252441,121.4721831
162,0,0,0,0,122.4805641,122.441297,123.7827062,122.1550769
163,0,0,0,0,123.131145,123.2256021,124.6481918,123.0264887
164,0,0,0,0,123.9779436,123.9634288,125.4881228,123.886049
165,0,0,0,0,124.718252,124.7163623,126.1942037,124.5241381
166,0,0,0,0,125.3995877,125.4176464,126.967472,125.1827213
167,0,0,0,0,126.1404529,126.0895175,127.691997,125.8141107
168,0,0,0,0,126.79467,126.8462947,128.4694402,126.6177409
169,0,0,0,0,127.4581343,127.5069501,129.2638704,127.3232746
170,0,0,0,0,128.1917309,128.1696889,130.023643,128.0999869
171,0,0,0,0,128.9165666,128.9548819,130.6710481,128.9313847
172,0,0,0,0,129.6556607,129.8016389,131.4015278,129.5931454
173,0,0,0,0,130.3834663,130.5728777,132.0673823,130.4035166
174,0,0,0,0,131.199719,131.3930798,132.8350439,131.1802061
175,0,0,0,0,132.0544089,132.0687343,133.6532738,131.9225749
176,0,0,0,0,132.7856747,132.7171075,134.2934417,132.6669968
177,0,0,0,0,133.5310978,133.4868104,134.9557756,133.4869596
178,0,0,0,0,134.3588285,134.2000862,135.6035359,134.3229226
179,0,0,0,0,135.015979,135.0171104,136.424762,135.0307785
180,0,0,0,0,135.6884009,135.7378977,137.1185785,135.9069741
181,0,0,0,0,136.4255854,136.5350073,137.8244783,136.5945048
182,0,0,0,0,137.0945006,137.2101259,138.5913958,137.4174169
183,0,0,0,0,137.8740568,137.9958312,139.3891009,138.281666
184,0,0,0,0,138.5720896,138.866363,140.1461143,138.981996
185,0,0,0,0,139.4533,139.5599817,140.871239,139.7507629
186,0,0,0,0,140.1025451,140.2462245,141.568299,140.3865906
187,0,0,0,0,140.9344805,140.969905,142.432031,141.1437615
188,0,0,0,0,141.5764023,141.685115,143.2788061,141.8514144
189,0,0,0,0,142.4093363,142.5533188,144.079874,142.489119
190,0,0,0,0,143.271761,143.2838696,144.731659,143.3437012
191,0,0,0,0,144.0878965,143.9461981,145.5004219,144.1208279
192,0,0,0,0,144.8134729,144.6817456,146.2535876,144.8043621
193,0,0,0,0,145.4726857,145.3159249,146.9033611,145.5454037
194,0,0,0,0,146.3263327,146.0930311,147.7561753,146.2902326
195,0,0,0,0,147.1331846,146.8259802,148.4018089,146.9370179
196,0,0,0,0,147.919336,147.6202635,149.0378137,147.5714711
197,0,0,0,0,148.5964563,148.3804167,149.7662182,148.20512
198,0,0,0,0,149.2388948,149.1412521,150.4927572,149.0371274
199,0,0,0,0,150.110919,150.0165674,151.2421591,149.8459282
200,0,0,0,0,150.814916,150.8238773,151.9422679,150.4945002
201,0,0,0,0,151.6441889,151.5878474,152.5902023,151.295624
202,0,0,0,0,152.4019156,152.3791781,153.4313867,152.1305121
203,0,0,0,0,153.1953197,153.1149991,154.2271058,152.8587283
204,0,0,0,0,154.049772,153.8328995,155.0539295,153.6291485
205,0,0,0,0,154.8975698,154.5458201,155.8302345,154.3647778
206,0,0,0,0,155.7517611,155.3908823,156.7041532,155.031101
207,0,0,0,0,156.4682097,156.2469644,157.4727109,155.8627664
208,0,0,0,0,157.1857293,156.9710852,158.2969023,156.6613423
209,0,0,0,0,157.9661239,157.8024615,158.9431639,157.4778797
210,0,0,0,0,158.7791015,158.5763989,159.741449,158.2149129
211,0,0,0,0,159.4818507,159.4300181,160.6073056,159.0081639
212,0,0,0,0,160.2775593,160.0870296,161.4790555,159.6919832
213,0,0,0,0,160.9498951,160.8880083,162.3286298,160.4285795
214,0,0,0,0,161.6149595,161.7204329,163.0662558,161.2442286
215,0,0,0,0,162.4349286,162.540752,163.8824941,161.997362
216,0,0,0,0,163.1750204,163.1756702,164.7478923,162.7437253
217,0,0,0,0,163.8491896,163.9614033,165.3812163,163.4723068
218,0,0,0,0,164.5252677,164.7174379,166.1168537,164.216682
219,0,0,0,0,165.2868969,165.3782207,166.9790053,164.9480721
