time,TsPreOut_abnormal,TpreIn_abnormal,Texh_abnormal,PAw_abnormal,TsEcoOut_abnormal,PAs0_abnormal,Ts0_abnormal
76,47.45479826,114.9,57.61422344,1.668632662,148.9802067,0.72351294,172.7940417
77,47.4567754,114.7,57.62132206,1.655498911,148.38996,0.724596687,172.7107265
78,47.45882365,114.6,57.52865356,1.640767547,147.9000511,0.7256832,172.7279704
79,47.46094555,114.4865236,57.63622542,1.617238656,147.6104914,0.725772567,172.9457918
80,47.46314375,114.3897603,57.64404535,1.624912327,147.721293,0.725864881,173.0642098
81,47.46542095,114.3931179,57.6521213,1.642188652,147.6324682,0.725960238,173.0832439
82,47.46777999,114.3966007,57.66046146,1.653867724,147.1440299,0.723058734,173.1029143
83,47.47022378,114.3002136,57.66907426,1.655949643,146.955991,0.720160472,172.9232421
84,47.47275534,114.1039613,57.67796841,1.654434511,146.5683654,0.717265556,172.6442487
85,47.4753778,114.4078488,57.68715287,1.618922431,146.4811671,0.719374093,172.7659564
86,47.5780944,115.0118814,57.69663685,1.599813515,147.5944107,0.721486194,173.288388
87,47.68090848,115.5160643,57.70642987,1.615107873,149.1081111,0.723601973,173.7115672
88,47.68382352,115.5204033,57.7165417,1.634005624,150.022284,0.722721547,173.5355184
89,47.58684311,115.324904,57.72698244,1.657706887,149.4369453,0.724845037,173.3602667
90,47.58997095,115.6295724,57.73776246,1.666211789,148.9521117,0.729972569,173.685838
91,47.69321089,116.3344149,57.84889244,1.657120458,149.6678002,0.736104271,174.612259
92,47.89656692,116.9394378,57.96038339,1.657633028,150.4840285,0.738240274,175.3395572
93,48.00004314,116.9446478,57.97224661,1.626949639,150.500815,0.739380716,175.067761
94,48.00364381,116.7500519,57.98449375,1.615070433,150.5181783,0.740525736,174.9968996
95,48.00737334,116.4556572,58.09713681,1.614395559,150.5361381,0.741675479,175.1270032
96,48.01123628,116.3614711,58.11018811,1.643725171,150.5547143,0.744830092,175.2581029
97,48.11523736,116.1675015,58.12366033,1.652259428,150.1739278,0.74798973,175.1902304
98,48.01938144,115.9737562,58.13756651,1.662398493,149.4937998,0.75015455,175.2234189
99,48.02367358,115.3802435,58.05192007,1.649342537,148.8143526,0.750324712,175.0577022
100,47.92811898,114.7869721,58.0667348,1.626691737,147.7356089,0.748500384,174.8931152
101,47.83272306,114.3939509,57.98202485,1.600846273,146.8575922,0.745681737,174.7296939
102,47.73749138,114.301189,57.99780481,1.614606334,146.0803269,0.742868947,174.6674753
103,47.74242972,114.408696,57.91408963,1.622772115,145.6038379,0.741062194,175.0064974
