time,corrective_profit,preventive_profit,local_profit,fed_profit
168,511.8024526,511.8950517,511.4044298,508.4313619
169,514.9750411,514.6796244,514.3422942,511.5435695
170,518.0104735,517.4951335,517.4351734,514.4601849
171,521.1073641,520.6082872,520.3579627,517.6232558
172,524.1127708,523.6965698,523.4529681,520.6473193
173,526.970518,526.7306099,526.3138952,523.6211884
174,530.0579438,529.6700657,529.1934097,526.6436757
175,532.9748745,532.617023,532.4001612,529.808219
176,535.9608257,535.5393629,535.1361718,532.6045402
177,538.904929,538.6618736,538.0247395,535.682701
178,542.1301068,541.4787416,541.015497,538.5585343
179,545.1108267,544.5860677,544.0099994,541.611808
180,547.952228,547.8077112,546.9167616,544.9822256
181,550.9706423,550.9164472,549.9161075,547.9305333
182,553.8470646,553.8880975,552.9723085,551.0046381
183,556.9157395,557.0479212,555.8251106,554.0688098
184,559.793151,560.1208249,558.9165628,556.8912673
185,562.8525963,563.1320844,561.7194082,560.031004
186,565.9551292,566.0838021,564.4325972,563.0069598
187,569.0708495,568.9627851,567.4867456,566.0598385
188,571.8478694,571.6947427,570.4106697,569.0149362
189,574.8163983,575.0676467,573.2180649,571.7706394
190,577.99326,578.208083,576.1408451,574.8851783
191,581.2574891,581.1735199,579.2140097,577.9831129
192,584.2577882,584.2254265,582.1926514,580.9197041
193,587.2095496,587.3103639,585.2515448,584.0365282
194,590.2461513,590.2418283,588.3970626,587.0575166
195,593.3465613,593.1116777,591.0407779,589.9076683
196,596.5190035,596.2042879,593.9353032,592.5014145
197,599.7531694,599.2579103,596.9813313,595.5172936
198,602.4880743,602.3446923,600.1819782,598.5283984
199,605.6482782,605.3523281,603.2643782,601.4239429
200,608.4533196,608.5068397,606.2959145,604.411301
201,611.5591711,611.465478,609.3052842,607.6826956
202,614.7386213,614.3285562,612.3731963,610.9783902
203,617.590021,617.1542256,615.4501471,614.143333
204,620.6112091,620.3637213,618.3873995,617.2800096
205,623.7860892,623.2427144,621.4065621,620.1732462
206,627.1360617,626.2932105,624.3871957,623.2177282
207,629.9895291,629.2990251,627.4164297,626.2601907
208,632.6918816,632.1999774,630.3940808,629.3194794
209,635.7440881,635.2626416,633.2464837,632.4478825
210,639.0334502,638.3427617,636.1657998,635.5562334
211,641.8492596,641.4911358,639.3823164,638.5338564
212,644.7681378,644.4398955,642.5996054,641.4222654
213,647.685283,647.2122297,645.694012,644.4158476
214,650.6153259,650.2319058,648.7584754,647.4639804
215,653.7617959,653.4028361,651.7722159,650.4767329
216,656.9593814,656.2735257,655.1370028,653.3218349
217,659.9042901,659.3132645,658.086932,656.3352217
218,662.6481497,662.2362222,660.9272777,659.2419114
219,665.5187847,665.064192,664.1075252,662.084618
220,668.5219763,668.2429554,667.1699303,665.1198463
221,671.3554871,671.450271,670.2031362,668.3345151
222,674.2676839,674.5477015,673.1733496,671.3264308
223,677.2358442,677.6453024,676.4736639,674.1048112
224,680.2301864,680.5646284,679.3867331,676.3259312
225,683.1932577,683.6233653,682.4556451,678.5702564
226,686.137849,686.9209925,685.417449,680.0762977
227,689.3493542,689.9319979,688.6010796,681.7788905
228,692.5021515,692.8471692,691.6530305,683.1337762
229,695.5090737,695.865002,694.5793292,684.6133043
230,698.6820535,698.8694669,697.3915573,686.0319541
231,701.721125,701.5883721,700.3132408,687.4667155
232,704.6453216,704.6217637,703.2805003,689.101778
233,707.5815375,707.9091543,706.2062958,690.6322303
234,710.6202954,710.8278172,709.3798698,692.8342663
235,713.7183266,713.9954525,712.3045451,694.3845397
236,716.6852358,717.0619543,715.4031562,696.5093342
237,719.4843752,720.2116501,718.4401026,698.7268147
238,722.6930163,723.3170811,721.4832566,700.8299148
239,725.5067177,726.5995265,723.8486592,702.9821761
240,728.2491206,729.5412043,725.9206492,704.9768986
241,731.1651647,732.492597,728.3020113,707.1704951
242,734.4422016,735.4926084,730.3859334,709.4626295
243,737.4394437,738.4528907,732.5024182,711.7946548
244,740.637884,741.3009568,734.9485383,713.9402933
245,743.6495132,744.5304483,737.1316053,717.0194565
246,746.6377027,747.6556908,739.4193292,720.0273491
247,749.4915022,750.6688418,741.6475611,722.8525502
248,752.428641,753.6738989,743.6853758,725.9216818
249,755.6424427,756.773297,746.843733,728.8161587
250,758.8428808,759.68679,749.8397999,731.9666349
251,761.849568,763.0119151,752.7654467,734.7703354
252,764.7882704,766.2024763,755.6719226,737.7068622
253,767.9056111,769.0562282,758.7080715,740.4787106
254,771.0928156,772.4186213,761.6160096,743.3630422
255,774.1324948,775.2725021,764.7248895,746.2708628
256,777.1165762,778.2489887,767.7911149,749.3029089
257,780.0708812,781.2748308,771.0410818,752.5287432
258,783.2599928,784.6299365,774.3041203,755.5257693
259,786.0829766,787.8488186,777.4806435,758.4490737
260,789.1430806,790.9521256,780.440529,761.2720443
261,792.0208996,793.7672486,783.3193642,764.2384499
262,795.1183027,796.6218399,786.3122964,767.3360372
263,798.1483699,799.5369655,789.3164169,770.4601252
264,801.2985574,802.5998595,791.6431031,773.4135802
265,804.4465586,805.8673788,793.9136328,776.3025723
266,807.2916217,808.7840912,796.2079894,779.3280245
267,810.2808158,811.7226664,798.2878414,781.6406656
268,813.2462303,814.9224736,799.8692452,784.0220487
269,816.3499864,814.1408683,801.1921628,786.2496201
270,819.1352067,813.3247605,802.7418614,788.5164128
271,822.2817811,812.3742731,804.0648931,790.7939943
272,825.1763008,811.558322,805.5733479,793.0287989
