time,TsPreOut_abnormal,TpreIn_abnormal,Texh_abnormal,PAw_abnormal,TsEcoOut_abnormal,PAs0_abnormal,Ts0_abnormal
0,51.9,111.4,55.8,1.6116,128.7,0.76,178.3
1,51.9,111.4,55.9,1.558,128.2,0.758,178.3
2,52.0,111.9,56.0,1.5512,128.6,0.7559999999999999,179.0
3,52.2,112.3,56.0,1.6232,129.6,0.7559999999999999,179.6
4,52.3,113.0,56.0,1.5728,130.4,0.7609999999999999,180.3
5,52.4,113.6,56.0,1.5648,131.5,0.768,181.3
6,52.5,114.3,56.1,1.5504,132.6,0.775,183.2
7,52.7,115.1,56.3,1.6384,134.1,0.779,185.4
8,52.7,115.6,56.3,1.6064,135.0,0.784,185.4
9,52.8,115.7,56.5,1.6032,135.7,0.789,184.5
10,52.7,115.3,56.4,1.5788,136.4,0.787,182.1
11,52.4,114.8,56.2,1.5824,136.0,0.7829999999999999,180.1
12,52.1,113.9,56.0,1.6156,133.6,0.777,178.3
13,51.9,112.8,55.8,1.5856,129.6,0.772,177.1
14,51.9,112.4,56.0,1.5592,129.9,0.7659999999999999,176.8
15,52.1,112.7,56.1,1.5524,131.0,0.76,176.9
16,52.4,113.5,56.1,1.5584,132.2,0.758,177.3
17,53.5,114.4,56.4,1.6208,133.2,0.754,178.3
18,55.1,115.3,56.7,1.7044,134.3,0.753,178.7
19,56.4,116.2,56.8,1.7032,135.5,0.76,178.8
20,56.9,117.1,57.0,1.7128,136.3,0.7509999999999999,179.2
21,57.2,117.8,57.1,1.7024,136.7,0.7440000000000001,179.7
22,56.7,118.7,57.1,1.6816,137.3,0.7440000000000001,181.40520319656642
23,56.3,119.8,57.2,1.6768,138.0,0.747,184.30868219595857
24,56.2,120.5,57.2,1.676,138.8,0.7490000000000001,186.71227605603195
25,56.3,120.9,57.3,1.6716,139.0,0.75,188.2159885563573
26,55.1,120.9,57.2,1.6604,138.8,0.7509999999999999,189.2198236000277
27,54.8,120.6,57.2,1.6484,138.4,0.7509999999999999,189.32378521763826
28,55.4,120.2,57.0,1.6312,137.6,0.7490000000000001,189.3278775713905
29,55.8,119.8,57.0,1.5784,136.8,0.745,188.83210495932462
30,55.9,119.5,57.1,1.5084,136.3,0.743,186.8364718196836
31,55.9,119.3,57.1,1.6316,135.6,0.743,186.6409827354127
32,56.0,119.4,57.1,1.5452,134.9,0.742,185.8456424387985
33,56.1,119.4,57.1,1.532,134.3,0.74,186.85045581625138
34,56.2,119.6,57.1,1.5196,134.18357269440418,0.741,188.95542791323527
35,56.3,120.1,57.2,1.6392,134.58639361841918,0.7440000000000001,190.16056393934912
36,56.5,120.8,57.2,1.6208,135.68930959417196,0.7440000000000001,189.66586927356454
37,56.6,121.6,57.337128974851424,1.6172,136.892323813053,0.7440000000000001,190.1713494696232
38,56.7,122.4,57.338388751663906,1.606,137.69543957282204,0.747,190.87701026159922
39,56.9,123.0,57.33969119650631,1.604,138.69866028109993,0.7490000000000001,191.68285756963064
40,57.0,123.5,57.44103774928825,1.6142602089955274,139.50198945897085,0.753,192.38889750582456
41,57.1,123.8,57.54242989815046,1.6142963697376793,140.10543074469913,0.7559999999999999,193.2951363803411
42,57.1,123.9,57.543869181055385,1.62473376159243,140.20898789756328,0.759,193.10158070766025
43,57.1,123.7,57.54535718742852,1.634772426319112,140.01266480181124,0.76,190.308237213037
44,57.0,123.4,57.44689555985198,1.6384124070828128,139.5164654707397,0.762,186.61511283914976
45,57.0,123.1,57.4484859958118,1.6428537485009524,138.82039405090185,0.763,184.3222147529466
46,56.9,122.5,57.550130249500604,1.6368964966913542,138.22445482644667,0.763,182.92955035269492
47,56.7,121.7,57.45183013367716,1.6273406993218482,137.3286522235933,0.764,182.03712727523944
48,56.7,121.0,57.45358752158456,1.6309864056614587,136.33299081524524,0.764,181.44495340347387
49,56.5,120.3,57.35540434892858,1.6382336666332162,135.63747532574712,0.762,180.75303687403175
50,56.4,119.6,57.257282615918065,1.640682534868645,134.84211063578888,0.762,180.06138608520143
51,56.3,118.88145207589106,57.259224389368995,1.6399330647639727,134.24690178746116,0.7609999999999999,179.27000970507103
52,56.1,118.28428447343923,57.16123180487403,1.6411853125381126,133.55185398946549,0.757,178.5789166799088
53,56.0,117.78721517404253,57.063307069039375,1.6344393362924667,133.15697262248457,0.753,177.98811624278403
54,55.9,117.3902475760195,56.96545246179083,1.6344951960726037,132.96226324471587,0.7490000000000001,177.39761792243513
55,55.9,117.39338519421642,56.967670338750835,1.6361529539318633,132.96773159757325,0.748,177.20743155238875
56,55.9,117.69663166393556,56.96996313368851,1.6286126739969398,133.2733836115614,0.747,177.31756728033756
57,56.04097888246076,118.29999074499129,57.07233336104462,1.6226744225354992,134.37922541232695,0.7490000000000001,178.22803557778096
58,56.242419223619294,119.20346632589744,57.27478361853345,1.6207382680258875,135.7852633268911,0.7509999999999999,179.23884724993476
59,56.44391008898735,120.10706242819018,57.27731658982352,1.6168042812289838,136.9915038900684,0.7535380482616761,179.7500134459158
60,56.54545324359528,120.81078321089008,57.279935047299354,1.6276725352622576,138.39795385107593,0.754557027922736,179.66154566920653
61,56.647050513614786,121.11463297510763,57.2826418549062,1.6413431056760865,139.20462018033845,0.755576675733109,179.2734557884057
62,56.648703788439775,121.11861616879634,57.385439971079876,1.6438160705323959,139.71151007649308,0.75459701511643,178.8857560482705
63,56.55041502283533,120.9227373916575,57.28833245176388,1.6446915104856785,139.41863097359914,0.7546180703105081,178.09845908105544
64,56.45218623915691,120.52700140020133,57.29132245351576,1.6431695088664546,138.82599054855774,0.7546398663951244,177.5115779181535
65,56.35401952964173,120.03141311296825,57.29441323670515,1.6416501517672366,137.6335967287457,0.7536624293207409,177.02512600204523
66,56.2559170587747,119.43597761591566,57.197608168805345,1.6385335281310542,136.34145769986884,0.752685785938151,176.33911719856005
67,56.05788106573075,118.44070016797401,57.10091072778083,1.6406197298426115,135.04958191403975,0.7507099640290968,175.95356580945597
68,55.95991386689617,117.7455862067772,57.004324505572846,1.6403088518221287,133.65797809808402,0.7477349923378837,175.66848658532143
69,55.86201785847088,117.0506413545721,57.007853211685145,1.64200099212194,132.56665526208099,0.7447609006040208,175.183894738805
70,55.76419551915413,116.7558714243117,56.91150067687224,1.6428962520259085,131.9756227081426,0.7427877195959166,175.19980595817637
71,55.666449412915945,116.76128242593731,56.915270856932246,1.6377947361517193,131.78489003943596,0.7418154811456618,175.11623642122376
72,55.668782191856785,116.8668805728539,56.91916783660654,1.6330965525561176,132.0944671694539,0.7428442181849266,175.1332028094911
73,55.77119659915767,116.97267228860447,57.02319583358836,1.639201812843157,132.7043643315383,0.7428739647820102,175.15072232285885
74,55.87369547212346,117.1786642137481,57.02735920264247,1.6437106322755146,133.5145920886608,0.7449047561800679,175.3688126944716
75,55.87628174532175,117.48486321294664,57.03166243983814,1.645423129888945,134.6251613434652,0.7469366288365525,175.78749220601532
76,55.97895845381983,118.0912763822655,57.13611018689728,1.6447394286099295,135.53608334857594,0.7499696204639045,176.10677970334729
77,56.08172873652247,118.49791105669372,57.14070723565995,1.644859655376582,136.54736971717693,0.7530037700715184,176.32669461247923
78,56.084595839613016,118.80477481788823,57.24545853266919,1.6513839412628766,137.45903243386465,0.7530391180090281,176.24725695591724
79,55.987563120100546,118.71187550214795,57.15036918387699,1.6511124216062543,137.9710838657794,0.7530757060109382,176.16848736935728
80,55.9906340494757,118.31922120862261,57.155444459473365,1.6496452361386629,137.68353677401836,0.7551135772426412,175.99040711873806
81,55.79381221747793,117.72682030776193,57.06068979884021,1.6533825291210946,136.99640432533374,0.7511527763478535,175.71303811765011
82,55.69710133597681,117.03468145000988,57.06611081563165,1.6483244494816676,135.90970010411937,0.7501933494975084,175.43640294510016
83,55.500505242970306,116.64281357474997,56.971713302982494,1.644071150957309,134.72343812468804,0.7472353444401374,175.16052486362878
84,55.50402790670252,116.35122591950574,56.977503238846026,1.6394227922390845,133.4376328438428,0.7432788105537839,174.9854278377786
85,55.40767342990381,116.25992802940269,56.983486791462795,1.623979537121226,132.65229917374361,0.7413237988994756,174.9111365529093
