time,TsPreOut_abnormal,TpreIn_abnormal,Texh_abnormal,PAw_abnormal,TsEcoOut_abnormal,PAs0_abnormal,Ts0_abnormal
0,49.2,78.2,55.3,1.7232,110.5,0.728,176.1
1,49.2,79.0,55.4,1.7408,114.3,0.731,176.3
2,49.3,79.4,55.4,1.7028,116.3,0.731,176.4
3,49.2,79.0,55.4,1.705470347124405,113.8,0.732,176.4
4,49.2,78.2,55.3,1.7103037126531586,112.1,0.731,176.3
5,49.1,77.2,55.2,1.7247381164553859,111.0,0.7290000000000001,176.2
6,49.0,76.5,55.1,1.709573590725164,110.1,0.727,176.1
7,49.0,75.8,55.0,1.6824101686475388,109.5,0.7240000000000001,175.9
8,49.0,75.3,55.0,1.6656478844285645,109.2,0.721,175.8
9,48.9,75.1,55.0,1.542086773326228,109.2,0.718,175.6
10,49.0,75.0,55.0,1.4909268716822783,109.4,0.715,175.5
11,48.9,75.1,54.9,1.797368216954982,109.2,0.7104891399388475,175.5
12,49.0,75.1,55.0,1.7146108477528388,108.4,0.7105045900613426,175.5
13,49.0,75.2,55.0,1.6882548038692742,108.1,0.7105205273074003,175.3
14,49.1,75.4,55.1,1.6531001263183405,108.0,0.7105369669784144,175.2
15,49.2,75.8,55.1,1.6275468573714498,107.8,0.7125539248527634,175.2
16,49.2,76.2,55.1,1.5431950405951687,107.8,0.7155714172004451,175.2
17,49.2,76.4,55.1,1.7172447208900994,108.1,0.7155894607981451,175.4
18,49.2,76.6,55.2,1.6380959445308798,107.5,0.715608072944749,175.5
19,49.2,76.8,55.2,1.6437487592073265,107.5,0.7186272714773151,175.7
20,49.3,77.2,55.2,1.6522032140667542,107.8,0.7226470747875152,175.9
21,49.3,77.6,55.2,1.6522593597574962,108.5,0.7266675018385603,176.0
22,49.4,78.0,55.4,1.6683172484736646,109.5,0.7306885721826203,176.3
23,49.4,78.1,55.4,1.701176934001172,111.3,0.735710305978754,176.4
24,49.4,78.1,55.5,1.7076384717650512,112.1,0.7377327240113609,176.6
25,49.4,78.0,55.4,1.7077019188781037,112.7,0.7377558477091697,176.7
26,49.3,77.8,55.4,1.7137673341909097,113.3,0.7367796991647763,176.7
27,49.3,77.5,55.3,1.7054347783432302,113.3,0.7368043011547467,176.6
28,49.2,77.2,55.3,1.6739043138168377,113.2,0.7358296771602989,176.5
29,49.2,76.9,55.2,1.6507760049898057,112.3,0.7348558513885773,176.5
30,49.1,76.5,55.2,1.6388499181922933,111.6,0.7348828487945367,176.3
31,49.1,76.2,55.2,1.6153261217638573,110.7,0.7319106951034491,176.3
32,49.1,75.7,55.1,1.604204686112329,109.8,0.7289394168340508,176.43691345857275
33,49.1,75.4,55.1,1.5486856837742875,108.9,0.7269690413223427,176.34139406468518
34,49.0,75.1,55.0,1.4783691894771658,108.3,0.7249995967460624,176.3460210032304
35,49.0,75.0,54.9,1.6292552802030262,107.1,0.7230311121498416,176.35079903339556
36,49.0,75.0,55.0,1.6277440352540393,105.8,0.7220636174710683,176.35573306782854
37,49.0,75.2,55.0,1.6294355363197017,105.4,0.7210971435664666,176.36082817749806
38,49.0,75.5,55.0,1.612329867545829,105.2,0.7221317222394127,176.46608959670212
39,49.1,76.0,55.1,1.6856271156053602,105.8,0.7221673862680041,176.57152272822842
40,49.1,76.5,55.1,1.6729273697710052,106.1,0.7232041694338975,176.6771331486713
41,49.2,77.2,55.2,1.6726307219897782,106.9,0.7272421065519332,176.7829266139093
42,49.3,78.1,55.2,1.672737266959444,108.1,0.7342812335005634,176.9889090647476
