time,TsPreOut_abnormal,TpreIn_abnormal,Texh_abnormal,PAw_abnormal,TsEcoOut_abnormal,PAs0_abnormal,Ts0_abnormal
31,51.44993455,112.7850373,75.8,1.58875065,140,0.734,239.7418933
32,51.45157818,112.3878806,75.7,1.644013757,139.2,0.733,239.6466877
33,51.35327577,112.0908187,75.7,1.547278899,137.8,0.733,237.3516438
34,51.35502909,111.7938548,75.6,1.50974614,137.1,0.732,238.5567671
35,51.35683995,111.6969923,75.6,1.433015549,136.6,0.73,241.6620631
36,51.45871023,111.7002343,75.7,1.573087195,136,0.733,244.1675377
37,51.46064187,111.8035845,75.9,1.559161149,135.5,0.734,245.6731969
38,51.56263687,111.9070464,76.1,1.544837484,135.7,0.734,247.5790468
39,51.5646973,111.9106237,76.2,1.331316277,136.1,0.734,249.9850939
40,51.76682528,112.4143203,76.6,1.650597607,136.2,0.74,254.5913448
41,51.76902302,112.51814,76.7,1.571881554,136.9,0.741,254.5978063
42,51.77129279,112.222087,76.5,1.552768202,137,0.741,252.0044855
43,51.77363693,111.7261655,76.4,1.545257637,136.8,0.74,250.0113897
44,51.57605786,111.3303799,76.2,1.621749948,136.3,0.741,248.5185264
45,51.57855808,111.0347346,76.2,1.598245226,135.8,0.743,247.5259035
46,51.68114017,111.0392343,76.3,1.611943565,135.9,0.75,247.7335289
47,51.68380678,111.1438838,76.5,1.561245064,136.5,0.751,248.141411
48,51.68656065,111.048688,76.4,1.566549822,137.5,0.753,246.1495584
49,51.68940463,110.8536521,76.5,1.593057944,137.6,0.754,243.1579799
50,51.69234162,110.7587814,76.5,1.565169535,137.5,0.755,241.2666847
51,51.69537465,110.3640812,76.3,1.564484706,138,0.755,238.8756824
52,51.59850683,110.0695572,76.144014,1.49260357,137.4916784,0.755,235.8849826
53,51.50174136,109.6752153,75.94556762,1.539126244,136.1949145,0.754517215,233.5945955
54,51.50508155,109.2810615,75.74717598,1.599652849,135.3982646,0.752535504,232.4045316
55,51.40853082,108.9871018,75.54884102,1.551783509,134.4017328,0.753554439,230.8148015
56,51.3120927,108.7933428,75.5505647,1.644718351,133.3053231,0.754574042,230.3254165
57,51.41577081,108.6997911,75.5523491,1.620857509,132.7090399,0.757594337,230.0363881
58,51.31956891,108.6064534,75.55419635,1.607001118,132.9128876,0.758615348,230.7477281
59,51.32349087,108.5133367,75.45610863,1.563549318,133.4168707,0.759637101,231.4594488
60,51.32754067,108.5204485,75.35808825,1.578902254,133.8209942,0.75765962,232.9715629
61,51.23172243,108.2277961,75.16013756,1.572260075,134.0252627,0.756682934,232.1840835
62,51.2360404,107.9353873,74.86225899,1.561222933,133.9296815,0.757707071,229.997024
63,51.14049893,107.6432301,74.76445508,1.558590987,133.3342559,0.757732058,228.4103985
64,51.14510256,107.4513328,74.56672844,1.6199644,133.1389911,0.757757926,227.5242213
65,51.04985593,107.2597037,74.46908178,1.61254334,132.443893,0.757784706,226.4385074
66,51.05476384,107.0683518,74.37151789,1.581127979,132.0489673,0.757812429,225.4532721
67,50.95983123,107.0772861,74.17403967,1.566918494,132.45422,0.75684113,225.1685312
68,50.96506321,107.1865159,74.07665012,1.573515071,132.8596574,0.754870841,225.0843012
69,50.97046502,107.4960509,74.17935233,1.568117896,132.6652859,0.756901599,224.6005989
70,51.0760421,107.905901,74.38214951,1.577527164,133.0711122,0.75793344,225.4174418
71,51.18180002,108.4160765,74.58504498,1.562143076,133.9771433,0.757966402,227.1348479
