Ffuel,Fs
3244.528439,16.82464555
3241.22985,16.78360104
3276.734159,16.77978723
3306.433326,16.82846969
3293.600972,16.75511294
3331.159047,16.81644104
3329.939786,16.81143826
3318.630197,16.84862136
3366.730231,16.87775772
3353.567717,16.87330914
3314.166072,16.81061591
3408.413321,16.92151811
3407.435464,16.84355897
3439.21651,16.93591605
3413.637255,16.8765468
3430.19773,16.9117065
3417.484235,16.90066235
3515.987236,16.92017553
3505.099034,16.95607855
3472.99788,16.96408087
3513.611559,16.91409558
3540.553775,16.91090342
3572.688138,16.96230159
3601.932341,16.92139351
3571.115645,16.97953944
3636.470839,17.04173793
3623.330289,17.04823785
3664.748147,17.01694251
3713.44539,17.0289166
3752.81364,17.05553931
3731.567283,17.04872506
3783.288555,17.09353765
3754.133031,17.07364061
3764.987303,17.08645381
3793.355419,17.06220983
3813.808508,17.02133575
3821.493446,17.07577159
3799.968206,17.11408222
3904.014176,17.10838659
3890.755088,17.08254757
3881.380155,17.08163736
3903.517335,17.05437296
3898.061648,17.18116798
3913.363432,17.12843073
3954.271716,17.16591952
3945.780491,17.22079547
3988.665703,17.21551094
3999.397757,17.19647625
3991.075399,17.1484001
3965.490939,17.1882531
3998.672767,17.21744458
3998.405541,17.25617323
4073.347106,17.24596495
3987.786334,17.17374615
4076.480702,17.22663217
4106.962087,17.17097156
4164.127816,17.27400752
4152.539171,17.28882362
4142.215665,17.29343874
4166.254174,17.26979015
4239.531558,17.31116472
4202.881753,17.35562746
4205.578779,17.24845448
4199.657406,17.29513942
4187.276502,17.27458507
4309.469976,17.32735408
4312.781217,17.36087893
4343.148773,17.34626614
4344.936855,17.31138093
4431.68315,17.46246695
4365.279993,17.45037376
4408.530065,17.42169209
4395.78015,17.38746736
4453.378719,17.39034523
4396.058748,17.35422071
4416.659206,17.39039179
4464.201733,17.4111404
4541.753888,17.51243024
4429.154207,17.42121309
4506.674673,17.42830883
4532.868067,17.41621211
4507.14363,17.43588416
4533.351672,17.42993013
4543.510128,17.44076232
4525.99915,17.55746888
4583.654902,17.48322603
4629.481115,17.57490977
4625.070841,17.49900636
4679.990475,17.53968897
4744.606631,17.55119405
4767.888516,17.54579114
4712.472876,17.60894348
4824.914101,17.66123877
4758.585372,17.6342628
4793.11671,17.60606997
4736.567247,17.59164381
4842.339663,17.57608441
4832.144389,17.65447274
4828.538644,17.68491084
4881.477122,17.6362998
4806.644861,17.62987671
4902.689715,17.71203701
4794.471523,17.61610074
4781.92462,17.57285274
4859.576198,17.59231283
4903.736469,17.71671173
4873.363503,17.6625476
4908.066232,17.59672603
5021.751027,17.70473368
4908.088427,17.69321179
4989.781716,17.65222476
4956.133922,17.72601867
4964.016872,17.75522421
5043.562132,17.79264043
4988.175965,17.70129019
4981.841806,17.7300228
4955.08489,17.68366586
5017.807744,17.73473065
5086.004259,17.7301525
5065.752957,17.726034
5104.004662,17.74680995
5096.90207,17.72878035
5108.030174,17.70942849
5160.253752,17.77478252
5100.299832,17.79301849
5173.666296,17.83910815
5114.838302,17.81684044
5228.528784,17.80922305
5248.788947,17.83546656
5113.375256,17.7019905
5288.478767,17.83042261
5262.79626,17.83199783
5229.325054,17.84108691
5258.008934,17.80243222
5276.594278,17.87059397
5256.071517,17.86068774
5275.391259,17.90351015
5369.353877,17.87115446
5325.826194,17.89775333
5308.965727,17.92511083
5292.700895,17.87476581
5330.69213,17.86778559
5326.667953,17.88624448
5449.726223,17.95110947
5337.188352,17.91175726
5390.827315,17.96484422
5375.914245,17.90580787
5427.546975,17.85269496
5464.27655,17.94586464
5517.736361,17.95889135
5606.549103,18.02594716
5495.722093,17.96680703
5603.46217,18.02908872
5549.553262,17.94006975
5632.655836,18.04413817
5598.781183,18.04267175
5489.00048,17.95232056
5622.153211,18.0677138
5597.565421,18.00552296
5554.420873,17.994035
5575.17621,17.99136621
5562.941161,18.00561173
5581.189756,18.04411864
5605.559097,18.01856125
5585.847695,18.07470461
5675.428226,18.08697544
5616.531588,18.01648547
5739.982476,18.06360275
5632.317713,18.07113765
5704.169894,18.08495437
5768.404514,18.07463939
5810.596435,18.13545759
5658.294316,18.03475649
5777.915887,18.07310181
5854.573974,18.142725
5891.746844,18.16582945
5822.303685,18.10869712
5729.661274,18.10090003
5832.502715,18.154607
5913.445766,18.15726399
5802.473994,18.13352801
5825.54656,18.20460637
5956.843102,18.1532
5880.929638,18.11913251
5971.569546,18.19905835
5956.496195,18.16929642
6082.964314,18.32107182
6011.832781,18.2247802
6010.159087,18.23595222
6115.03062,18.29352477
6042.884152,18.27781406
6220.139509,18.30071505
6274.885028,18.41542612
6315.285406,18.53240985
6258.804237,18.4068798
6341.944292,18.53643237
6281.917618,18.41234632
6328.570713,18.42454228
6283.054599,18.35243124
