time,TsPreOut_abnormal,TpreIn_abnormal,Texh_abnormal,PAw_abnormal,TsEcoOut_abnormal,PAs0_abnormal,Ts0_abnormal
0,50.9,111.8,73.9,1.644,136.8,0.748,219.5
1,50.8,111.4,73.8,1.621573959902566,136.1,0.748,216.9
2,50.7,111.3,72.6,1.536399047784107,136.0,0.7490000000000001,215.6
3,50.7,111.3,72.3,1.5692249478124707,135.6,0.748,216.5
4,50.8,111.5,73.2,1.6440516862076608,136.0,0.747,217.8
5,50.9,111.7,73.8,1.5612792900315209,136.4,0.748,218.5
6,50.9,111.8,74.0,1.5709077872144546,137.4,0.748,219.8
7,51.0,112.0,74.2,1.7213372065829742,137.6,0.748,221.0
8,51.0,112.0,74.1,1.6289675778881036,137.7,0.748,221.0
9,51.0,112.1,74.3,1.6329989318346547,137.8,0.7490000000000001,220.6
10,51.0,112.2,74.4,1.5486313001114083,138.0,0.748,220.6
11,51.02697699208075,112.2,74.5,1.5582647154222233,138.5,0.748,221.4
12,51.027865981665215,112.0,74.5,1.6050992115181035,138.4,0.746,221.9
13,51.028784225787135,112.0,73.0,1.615934823230244,137.7,0.7440000000000001,221.4
14,51.02973268440495,112.0,73.8,1.5627715865040912,138.1,0.743,221.1
15,51.03071234879371,111.9,74.1,1.5576095384344428,138.0,0.742,221.7
16,51.031724242554475,111.8,74.3,1.6184487173016169,137.4,0.741,222.2
17,51.03276942265527,111.7,74.4,1.6260891626087206,136.9,0.741,221.1
18,50.93384898050487,111.5,74.4,1.5517309151200505,136.1,0.741,220.2
19,51.03496404306006,111.5,74.4,1.5473740169006538,135.8,0.742,221.5
20,51.03611577396752,111.7611972077629,74.6,1.7106185113570858,136.0,0.743,225.0
21,51.13730537474141,111.9632444893276,74.9,1.655064443279393,136.4,0.746,226.7
22,51.238534085977456,112.16536015986007,75.0,1.6371118588843594,136.8,0.747,226.8
23,51.23980318860487,112.16754649704481,75.0,1.6255608058600461,137.5,0.742,226.8
24,51.241114005177,112.26980585395945,75.1,1.5280113334116632,138.8,0.736,226.8
25,51.24246790120198,112.37214066153881,75.1,1.5392634923088073,139.4,0.732,227.8
26,51.14386628651428,112.37455343111714,75.1,1.6617173349341012,139.5,0.733,228.42423020106304
27,51.24531061668871,112.57704675705124,75.1,1.614172915333276,139.1,0.737,228.02842865694367
28,51.34680239449757,112.87962331942649,75.4,1.5574302892667253,139.3,0.74,231.23276878758082
29,51.448343171412716,112.98228588684867,75.7,1.5394895142625822,139.9,0.738,236.13725535891965
30,51.44993454915322,112.78503731932376,75.8,1.5887506496713464,140.0,0.7340000000000001,239.7418932962151
31,51.45157818128044,112.38788057122841,75.7,1.6440137567221078,139.2,0.733,239.6466876892872
32,51.353275774841364,112.09081869437388,75.7,1.5472788985804051,137.8,0.733,237.3516437979448
33,51.355029092061805,111.79385484116594,75.6,1.5097461404077603,137.1,0.732,238.5567670575831
34,51.35683995209069,111.69699226786355,75.6,1.4330155494229289,136.6,0.73,241.6620630849597
35,51.45871023279687,111.70023433793943,75.7,1.573087194964912,136.0,0.733,244.16753768415523
36,51.46064187261978,111.80358452554492,75.9,1.5591611485577679,135.5,0.7340000000000001,245.67319685272315
37,51.56263687247548,111.90704641908256,76.1,1.5448374839772685,135.7,0.7340000000000001,247.579046788035
38,51.5646972977194,111.91062372488926,76.2,1.3313162773194438,136.1,0.7340000000000001,249.98509389382642
39,51.76682528016738,112.41432027103305,76.6,1.650597607071057,136.2,0.74,254.59134478695006
40,51.76902302017643,112.51814001122665,76.7,1.5718815541820559,136.9,0.741,254.5978063043413
41,51.77129278878669,112.22208702886115,76.5,1.552768202140042,137.0,0.741,252.00448551020273
42,51.77363692992627,111.72616554116307,76.4,1.5452576370468045,136.8,0.74,250.01138970341395
43,51.57605786268034,111.33037990347792,76.2,1.6217499476969635,136.3,0.741,248.51852642517295
44,51.5785580836262,111.034734613684,76.2,1.598245225658762,135.8,0.743,247.52590346687552
45,51.68114016923583,111.03923431673964,76.3,1.6119435653570604,135.9,0.75,247.73352887823964
46,51.68380677834757,111.14388380936764,76.5,1.561245064158567,136.5,0.7509999999999999,248.14141097568134
47,51.68656065470847,111.04868804488018,76.4,1.5665498224593573,137.5,0.753,246.14955835094912
48,51.68940462958915,110.85365213814806,76.5,1.593057943774723,137.6,0.754,243.1579798800242
49,51.69234162447247,110.758781370718,76.5,1.5651695348313899,137.5,0.755,241.26668473229324
50,51.69537465381798,110.3640811960814,76.3,1.5644847056621538,138.0,0.755,238.87568238000168
51,51.59850682790364,110.06955724509871,76.1440139965866,1.4926035697029727,137.49167837476435,0.755,235.88498260799417
