time,TsPreOut_abnormal,TpreIn_abnormal,Texh_abnormal,PAw_abnormal,TsEcoOut_abnormal,PAs0_abnormal,Ts0_abnormal
0,47.8,114.9,57.6,1.686,148.0,0.705,171.9
1,47.8,114.6,57.6,1.6852,146.9,0.71,171.8
2,47.7,114.9,57.6,1.6724,146.8,0.7140000000000001,171.9
3,47.8,115.3,57.6,1.6572,147.4,0.7170000000000001,172.2
4,47.8,115.2,57.7,1.636,148.1,0.718,172.3
5,47.7,115.0,57.7,1.6144,148.0,0.72,172.2
6,47.7,115.1,57.7,1.6108,147.7,0.721,172.3
7,47.7,115.2,57.7,1.648,147.6,0.722,172.3
8,47.6,114.8,57.6,1.6692,147.1,0.723,172.2
9,47.6,114.2,57.6,1.6612,145.9,0.7240000000000001,172.0
10,47.4,113.6,57.5,1.6464,145.0,0.726,171.9
11,47.4,113.2,57.5,1.6144,144.2,0.726,171.9
12,47.3,113.1,57.5,1.5984,144.0,0.728,172.0
13,47.3,113.3,57.5,1.6032,144.3,0.726,172.1
14,47.3,113.2,57.629009286991916,1.6244,144.6,0.7240000000000001,172.0
15,47.2,113.1,57.629978578804796,1.6448,144.1,0.723,171.8
16,47.2,113.0,57.530980214304286,1.6496,143.9,0.7240000000000001,171.6
17,47.2,112.9,57.632015269797286,1.656,143.9,0.7253718031524508,171.6
18,47.2,112.8,57.63308485720683,1.6484,144.3,0.7273842888335234,171.6
19,47.2,112.9,57.63419012523705,1.6372,144.9,0.7273971932301343,171.7
20,47.2,113.0,57.63533226057529,1.6296,145.6,0.727410530345163,171.7
21,47.2,113.1,57.53651248913256,1.6292,146.2,0.726424314647116,171.6
22,47.2,113.2,57.53773207732343,1.6332,146.7,0.7274385610854268,171.7
23,47.2,113.3,57.538992333386545,1.6748,147.0,0.7264532851062485,171.7
24,47.2,113.3,57.540294608746976,1.6696,146.9,0.7244685026687498,171.6902024083007
25,47.2,113.3,57.541640299421694,1.676,147.0,0.7234842302619321,171.49326754809084
26,47.2,113.3,57.4430308474694,1.6704,147.0,0.7255004849219828,171.49643669573982
27,47.2,113.3,57.544467742486006,1.6156,147.1,0.7305172842501811,171.5997133702874
28,47.2,113.3,57.545952523147136,1.624,147.3,0.731534646431371,171.9031012091325
29,47.2,112.8,57.447486778799004,1.6176,147.1,0.7295525902530213,171.90660397196532
30,47.2,112.1,57.34907215109908,1.638,146.4,0.7295711351248875,171.81022554482672
31,47.1,111.2,57.350710335707966,1.6512,145.5,0.7265903010992937,171.71396994429875
32,47.0,110.7,57.25240308403393,1.6496,144.3,0.7246101088920552,171.61784132183013
33,47.0,110.9,57.25415220503166,1.6504,143.4,0.7236305799040544,171.52184396820124
34,47.0,111.2,57.25595956705673,1.6212,143.2,0.7196517362434969,171.42598231813227
35,47.0,111.9,57.257827099777295,1.6028,143.8,0.7186736007488589,171.33026095503917
36,47.1,112.7,57.359756796144744,1.6132,145.1,0.7156961970125543,171.33468461594168
37,47.2,113.0,57.36175071442482,1.6296,146.1,0.7167195494053332,171.43925819652793
38,47.2,113.2,57.36381098029087,1.6812,146.6,0.7167436831014393,171.3439867563802
39,47.2,113.5,57.36593978898107,1.656,146.6,0.7177686241045437,171.34887552436692
40,47.3,114.1,57.468139407521136,1.654,147.38439094624735,0.7207943992744766,171.45392990420527
41,47.3,114.6,57.47041217701444,1.6008,148.58733869003112,0.7218210363547829,171.65915548019927
42,47.4,114.9,57.472760515001276,1.6208,149.4903892369694,0.720848564001117,171.8645580231593
43,47.4,114.7,57.575186917889035,1.5984,149.79354616094173,0.718877011810506,171.7701434965071
44,47.4,114.4,57.577693963455204,1.6228,149.49681315926105,0.7199064103515024,171.57591806257207
45,47.4,114.0,57.58028431342502,1.6368,148.3001940568789,0.7209367911952471,171.6818880890844
46,47.4,113.8,57.58296071612568,1.6632,147.40369281073026,0.7209681869474724,172.08806015587035
47,47.4,114.0,57.48572600921911,1.6292,146.8073135142216,0.722000631281463,172.39444106175495
48,47.4,114.1,57.48858312251501,1.6028,146.81106040186702,0.7230341589720033,172.60103783167867
49,47.4,114.4,57.591535080866436,1.6008,147.21493785407665,0.724068805930337,172.70785772403272
50,47.4,114.7,57.49458500714968,1.6028,147.71895040210228,0.7241046092401597,172.9149082382202
51,47.4,114.5,57.49773612533055,1.6352,147.82310273314485,0.7231416071946756,173.02219712244792
52,47.4,114.4,57.50099176361899,1.6576,147.52739969562867,0.7241798393347385,172.9297323817556
53,47.4,114.3,57.50435535771417,1.6696,146.93184630464722,0.724219346488109,172.83752228628893
54,47.4,114.3,57.507830454141924,1.6864,146.53644774758612,0.7252601708098483,172.74557537982193
55,47.4,114.3,57.511420713686725,1.6704,146.84120938992785,0.725302355823879,172.75390048853558
56,47.3,114.1,57.51512991492011,1.65,147.24613678124422,0.7253459464657385,172.6625067300591
57,47.3,113.8,57.51896195782766,1.6416,147.05123566138147,0.7243909891265498,172.5714035227803
58,47.2,113.1,57.52292086753649,1.6492,146.8565119668439,0.7234375316982388,172.4806005954313
59,47.13106641793886,112.5,57.42701079814528,1.6724,146.2619718373819,0.7224856236200219,172.39010799695694
60,47.13218875436627,112.3,57.43123603665889,1.6674754559218123,145.06762162278963,0.7225353159261928,172.19993610667157
61,47.133351566301016,112.5,57.435601007029376,1.6667143791158932,144.47346788991885,0.7235866612952334,172.2100956447118
62,47.13455630820406,112.8,57.4401102743055,1.6463547085411898,144.6795174299144,0.7246397141002743,172.22059768279138
63,47.1358044864167,113.2,57.44476854889247,1.6163964948192349,145.0857772656782,0.726694530460932,172.33145365526514
64,47.13709766098284,113.7,57.549580690923854,1.608839790380332,145.89225465956693,0.7267511682965471,172.74267537050866
65,47.23843744753314,114.0,57.554551714747404,1.626084649527189,146.59895712133095,0.723809687380848,172.85427502262036
66,47.239825519233015,114.0,57.45968679352653,1.6429311285007178,147.00589241629973,0.7248701493980657,172.86626520345266
67,47.24126360879658,114.1,57.46499126395902,1.6557792855480662,147.41306857382116,0.7249326180005211,172.77865891497876
68,47.24275351056837,114.3,57.470470631114665,1.6698291809929533,147.42049389596113,0.72399715886771,172.6914695820019
69,47.3442970826752,114.6,57.476130573393135,1.6602808773083801,147.72817696646962,0.7210638397669047,172.60471106521283
70,47.34589624925006,114.9,57.481976947603556,1.6371344391917881,148.23612666002052,0.7211327306152955,172.5183976746027
71,47.34755300273045,115.0,57.488015794167005,1.6175899336427404,148.64435215173202,0.7232039035436896,172.53254418323678
72,47.34926940623324,115.1,57.494253342442995,1.6240474300432028,149.2528629269739,0.7232774329617876,172.74716584139549
73,47.451047596008486,115.1,57.600696016180954,1.6401070002405065,149.5616687914694,0.7223533956250509,172.76227839108824
74,47.45288978397443,115.0,57.60735043909743,1.6669687186330653,149.37077988169756,0.7214318707031786,172.77789808094607
75,47.454798260336126,114.9,57.61422344057974,1.6686326622589378,148.98020667560417,0.7235129398502039,172.79404168149776
76,47.45677539629023,114.7,57.62132206151633,1.655498910887312,148.38996000362715,0.7245966872762236,172.71072650083508
77,47.45882364681823,114.6,57.5286535602542,1.6407675471130014,147.90005106004406,0.7256831998207652,172.7279704006715
78,47.46094555357085,114.48652360227098,57.63622541868321,1.6172386564540377,147.6104914146482,0.7257725670278028,172.9457918127986
79,47.4631437478461,114.38976031245818,57.64404534844709,1.62491232745245,147.7212930247603,0.7258648812224203,173.06420975594426
80,47.46542095366361,114.39311786159647,57.65212129728045,1.6421886517783175,147.63246824758264,0.7259602375891252,173.0832438530359
81,47.46777999093794,114.39660074269102,57.66046145547107,1.653867724337194,147.14402985290187,0.7230587342518076,173.10291434887168
82,47.470223778753535,114.3002136144044,57.669074262446024,1.6559496433809875,146.95599103614768,0.7201604723553395,172.92324212820174
83,47.472755338744044,114.10396130705745,57.67796841348026,1.654434510622399,146.5683654318132,0.7172655561488018,172.6442487342214
84,47.475377798578805,114.40784882883956,57.68715286652557,1.6189224313530086,146.48116712724362,0.7193740930703255,172.7659563874771
85,47.578094395559255,115.01188137223482,57.6966368491576,1.5998135145651087,147.59441067679884,0.7214861938335261,173.2883880051853
86,47.68090848032815,115.51606432067071,57.706429865637986,1.6151078730773822,149.10811111639634,0.7236019725155067,173.71156722096336
87,47.683823520694304,115.52040325539664,57.71654170408842,1.634005623664522,150.02228397843902,0.7227215466464006,173.53551840497127
88,47.58684310557587,115.32490396259934,57.726982443772684,1.6577068871908927,149.43694530713424,0.7248450373004156,173.36026668446132
89,47.58997094906489,115.62957244076219,57.737762462482316,1.666211788748333,148.95211167420763,0.72997256918834,173.68583796473195
90,47.69321089461602,116.33441490827646,57.84889244402087,1.6571204577982,149.66780019501724,0.736104270751458,174.61225895048105
91,47.896566919362385,116.93943781131146,57.96038338578117,1.657633028317752,150.48402854507128,0.7382402742568219,175.33955716755239
92,48.00004313856128,116.94464783195198,57.97224660640915,1.6269496389509743,150.50081497695297,0.7393807158938136,175.06776098506793
93,48.00364381017263,116.75005189661037,57.98449375354733,1.615070433163945,150.5181783376556,0.7405257358719255,174.99689963793656
94,48.00737333957311,116.45565718472182,58.09713681165002,1.6143955594048365,150.5361380863301,0.7416754785196775,175.1270032497287
95,48.011236284408454,116.36147113773066,58.11018810986154,1.6437251712686582,150.55471431244624,0.7448300923845809,175.2581028559049
96,48.115237359587034,116.16750146837624,58.12366032994805,1.6522594276668303,150.17392775436863,0.7479897303340463,175.19023042738334
97,48.01938144241703,115.9737561702868,58.137566514272415,1.6623984930016822,149.49379981834755,0.7501545496571266,175.223418894431
98,48.02367357789008,115.38024352788968,58.05192007380056,1.6493425373459776,148.81435259792326,0.7503247121669684,175.05770217085902
99,47.92811898411374,114.78697212664684,58.06673479612699,1.6266917366275455,147.73560889374224,0.7485003843038387,174.89311517850257
100,47.83272305789529,114.39395086362444,57.982024853505564,1.6008462728191097,146.85759223378193,0.7456817372385783,174.72969387196176
101,47.73749138047916,114.30118895840484,57.99780481087104,1.6146063341334005,146.0803268939802,0.7428689469763189,174.6674752635781
102,47.74242972344016,114.40869596435067,57.91408963383492,1.6227721152236259,145.6038379192635,0.741062194460287,175.00649744861735
103,47.847544054734456,114.5164817802292,57.930894696638674,1.6453438173893782,145.92815114496716,0.7402616656755053,175.0467996306286
104,47.85284054491039,114.6245566622066,57.9482357900452,1.6623216487880457,146.15329321863928,0.7404675517521788,174.98842214694403
105,47.85832557348052,115.03293123622039,57.96612912914859,1.6761058246517915,146.27929162221784,0.7416800490685453,175.2314064942817
106,47.86400573545654,115.44161651073992,58.08459136108038,1.6782965675101555,147.40617469456996,0.7448993593529438,175.3757953544104
107,47.86988784804819,115.75062388992282,58.10363957258893,1.669294107418331,148.3339716543785,0.7471256897848381,175.52163261983074
108,47.97597895752722,115.85996518717717,58.123291297467084,1.6574986821911524,149.66271262336124,0.7443592530945161,175.46896341942414
109,47.98228634625692,115.96965263913755,58.14356452380124,1.642910537642827,150.19242864980407,0.7436002676611609,175.31783414401568
110,47.988817539887634,116.27969892006382,58.16447770101332,1.6603299278324295,150.5231517323878,0.7438489576089665,175.2682924717935
111,47.995580314718225,116.3901171566712,58.18604974666524,1.679757115315169,150.95491484428638,0.7441055529009533,175.3203873935227
112,48.00258270522304,116.50092094339962,58.30830005299337,1.6855923713994208,150.98775195751017,0.7453702894301101,175.4741692374857
113,48.00983301174358,116.5121243581306,58.3312484931385,1.6834359764095101,151.02169806746645,0.7456434091074672,175.62968969407726
114,48.11733980834344,116.52374197835925,58.35491542703483,1.664888219954208,151.05678921770533,0.7449251599466767,175.6870018399765
115,48.1251119508248,116.63578889782869,58.37932170691886,1.6551494012008907,151.09306252481665,0.7452157961446525,175.94616016181195
116,48.13315858490401,116.74828074363398,58.40448868241746,1.6358198291552941,151.13055620343903,0.7445155781577898,176.20722057923072
117,48.14148915454323,116.76123369380186,58.43043820517142,1.650099822946774,151.1693095913399,0.7438247727732628,176.57024046727602
118,48.15011341043452,116.67466449535242,58.45719263294867,1.67278971211896,151.20936317451995,0.7451436531748582,176.3352786779713
119,48.15904141863199,116.48859048284788,58.484774833198955,1.6910898369256675,150.6507586122924,0.7464724990027852,176.40239556100204
120,48.16828356932676,116.30302959743325,58.51320818599903,1.6826005486319127,149.99353876228255,0.7458115964068561,176.37165298338005
121,48.17785058575888,116.11800040637262,58.442516586334925,1.6673222098198364,149.53774770528847,0.7461612380924129,176.44311434796688
122,48.18775353325925,116.03352212308437,58.472724445665435,1.6448551946993264,149.28343076993872,0.7455217233583327,176.71684461072635
123,48.198003828413626,115.94961462767715,58.603856692707815,1.6339998894230807,149.03063455707843,0.7458933581264151,176.79291029656818
124,48.208613248339965,115.86629848798766,58.635938773384716,1.646356692405838,148.87940696380852,0.7412764549614209,176.9713795136368
125,48.319593940068984,115.88359498112038,58.668996649868,1.6651260146474456,148.72979720709804,0.7386713330809928,176.85232196589092
126,48.330958430016736,116.00152611548752,58.603056798652844,1.6683082800594093,148.78185584688356,0.7390783183546588,176.93580896381167
127,48.34271963353684,116.52011465334652,58.638146207592754,1.6679039257945238,149.1356348085621,0.7384977432910795,177.32191343306815
128,48.45489086453833,116.93938413383081,58.77429237182335,1.6607134025791286,150.09118740477962,0.738929947012669,177.71070992096082
129,48.467485845154066,117.25935889646757,58.71152328850036,1.6443371750475002,151.1485683564081,0.737375275216679,177.80227460045376
130,48.48051871544264,117.58006410517486,58.74986745027462,1.64317572207783,151.80783381259846,0.7338340801218078,177.79668527159856
131,48.594004043105414,117.90152577272792,58.789353837424486,1.633629537129179,151.86904136978842,0.7323067203993553,178.09402136014342
132,48.70795683319841,118.62377078568291,58.930011908563685,1.6548991285787553,151.9322500895373,0.7327935610879167,178.39436391311153
133,48.82239253781695,119.34682692974324,58.971871589840525,1.6709850200587864,151.99752051505132,0.7362949734905728,178.69779559112447
134,48.837327065728964,119.87072291555181,59.01496326254223,1.6794877507921917,152.06491468625467,0.7398113350535062,179.00440065723674
135,48.952776791930816,119.6954884048891,59.15931774901648,1.692007875926204,152.13449615325362,0.7403430292249417,178.81426496203974
136,48.96875856709733,119.32115403725454,59.204966296820366,1.6689459668629982,152.20632998803177,0.7378904452932867,178.62747592478328
137,48.98528972689533,119.447751456805,59.25194056100604,1.6447026115863184,152.2804827942057,0.7394539782033187,179.54412251025627
138,49.00238810112755,119.67531333962069,59.30027258445073,1.6312784149830089,152.35702271466147,0.740034028349249,180.16429520115855
139,49.12007202267133,119.70387342126588,59.349994776138544,1.6290739991582703,152.43601943688222,0.7406310013434745,180.5880859656892
140,49.13836033617366,119.73346652460638,59.30113988730084,1.6516900037433653,152.51754419576937,0.7432453077598125,180.81558822006946
141,49.2572724064615,119.56412858784272,59.3537409853221,1.6643270861944102,152.60166977374823,0.7458773628500103,180.74689678571121
